ligand_id,is_known_active,enopt_score,enopt_rank
CHEMBL8805,0,0.9366167187690735,1
CHEMBL3310773,0,0.9340394139289856,2
CHEMBL9704,0,0.9321075081825256,3
CHEMBL27378,0,0.9321075081825256,4
CHEMBL20117,0,0.9264975786209106,5
CHEMBL11484,0,0.9264975786209106,6
CHEMBL34954,0,0.9210879802703857,7
CHEMBL34204,0,0.9200832843780518,8
CHEMBL38708,0,0.9195848107337952,9
CHEMBL15214,0,0.9195848107337952,10
CHEMBL35714,0,0.9195848107337952,11
CHEMBL26456,0,0.9195848107337952,12
CHEMBL31599,0,0.9195848107337952,13
CHEMBL32231,0,0.9195848107337952,14
CHEMBL10399,0,0.9195848107337952,15
CHEMBL36727,0,0.9195848107337952,16
CHEMBL40196,0,0.9195848107337952,17
CHEMBL532920,0,0.9195848107337952,18
CHEMBL16058,0,0.9195848107337952,19
CHEMBL19402,0,0.9141335487365723,20
CHEMBL9172,0,0.9134325981140137,21
CHEMBL36211,0,0.9134325981140137,22
CHEMBL9861,0,0.9134325981140137,23
CHEMBL3310974,0,0.9134325981140137,24
CHEMBL544338,0,0.9134325981140137,25
CHEMBL33740,0,0.9134325981140137,26
CHEMBL4436015,0,0.9108180403709412,27
CHEMBL584341,0,0.9106545448303223,28
CHEMBL501925,0,0.9099122285842896,29
CHEMBL17806,0,0.9079757332801819,30
CHEMBL8494,0,0.9072253108024597,31
CHEMBL7097,0,0.9072253108024597,32
CHEMBL4116121,0,0.9062867164611816,33
CHEMBL19401,0,0.9060142040252686,34
CHEMBL19404,0,0.9060142040252686,35
CHEMBL7639,0,0.9060142040252686,36
CHEMBL7259,0,0.9060142040252686,37
CHEMBL39831,0,0.9060142040252686,38
CHEMBL40477,0,0.9060142040252686,39
CHEMBL41150,0,0.9060142040252686,40
CHEMBL1196830,0,0.9060142040252686,41
CHEMBL39615,0,0.9060142040252686,42
CHEMBL24573,0,0.9060142040252686,43
CHEMBL38896,0,0.9060142040252686,44
CHEMBL15920,0,0.9060142040252686,45
CHEMBL38561,0,0.9060142040252686,46
CHEMBL37433,0,0.9060142040252686,47
CHEMBL37069,0,0.9060142040252686,48
CHEMBL25403,0,0.9060142040252686,49
CHEMBL27796,0,0.9060142040252686,50
CHEMBL4434898,0,0.9060142040252686,51
CHEMBL4435080,0,0.9060142040252686,52
CHEMBL4435818,0,0.9060142040252686,53
CHEMBL4553699,0,0.9060142040252686,54
CHEMBL18925,0,0.9060142040252686,55
CHEMBL16860,0,0.9060142040252686,56
CHEMBL41834,0,0.9060142040252686,57
CHEMBL16221,0,0.9060142040252686,58
CHEMBL21058,0,0.9060142040252686,59
CHEMBL21390,0,0.9060142040252686,60
CHEMBL40126,0,0.9060142040252686,61
CHEMBL39674,0,0.9060142040252686,62
CHEMBL41285,0,0.9060142040252686,63
CHEMBL41519,0,0.9060142040252686,64
CHEMBL42271,0,0.9060142040252686,65
CHEMBL1163225,0,0.9060142040252686,66
CHEMBL11005,0,0.9060142040252686,67
CHEMBL4560027,0,0.9060142040252686,68
CHEMBL10597,0,0.9060142040252686,69
CHEMBL4560025,0,0.9060142040252686,70
CHEMBL3310170,0,0.9060142040252686,71
CHEMBL30459,0,0.9060142040252686,72
CHEMBL24638,0,0.9060142040252686,73
CHEMBL12411,0,0.9060142040252686,74
CHEMBL33844,0,0.9060142040252686,75
CHEMBL33395,0,0.9060142040252686,76
CHEMBL3310354,0,0.9060142040252686,77
CHEMBL34672,0,0.9060142040252686,78
CHEMBL29598,0,0.9060142040252686,79
CHEMBL31269,0,0.9060142040252686,80
CHEMBL32956,0,0.9060142040252686,81
CHEMBL32361,0,0.9060142040252686,82
CHEMBL10821,0,0.9060142040252686,83
