conformation_id,feature_importance
active_bi167107_4LDE,0.2587
active_gs_complex_3SN6,0.2076
inactive_carazolol_2RH1,0.1983
active_hbi_4LDL,0.1773
inactive_carazolol_5D5A,0.1581
