ligand_id,is_known_active,enopt_decoy_score,enopt_decoy_rank,molecule_chembl_id,best_pchembl,n_measurements,n_strong,types,documented_strong
CHEMBL11850,0,0.51170415,6571,,,0,0,,False
CHEMBL17285,0,0.0977404,21765,,,0,0,,False
CHEMBL31727,0,0.029566573,27185,,,0,0,,False
CHEMBL36216,0,0.0628272,24655,,,0,0,,False
CHEMBL9766,0,0.14512143,18774,,,0,0,,False
CHEMBL36584,0,0.15778802,17864,,,0,0,,False
CHEMBL28133,0,0.4896482,6915,,,0,0,,False
CHEMBL1163383,0,0.5353631,5928,,,0,0,,False
CHEMBL39041,0,0.06850059,24186,,,0,0,,False
CHEMBL3311245,0,0.040057816,26440,,,0,0,,False
CHEMBL20435,0,0.15778802,17838,,,0,0,,False
CHEMBL3310357,0,0.6115208,4002,,,0,0,,False
CHEMBL40303,0,0.47153264,7237,,,0,0,,False
CHEMBL30309,0,0.21137223,15063,,,0,0,,False
CHEMBL7257,0,0.0282139,27290,,,0,0,,False
CHEMBL3309638,0,0.6102252,4032,,,0,0,,False
CHEMBL24361,0,0.52074665,6355,,,0,0,,False
CHEMBL29733,0,0.66407555,2861,,,0,0,,False
CHEMBL25500,0,0.35559642,10230,,,0,0,,False
CHEMBL32865,0,0.5846953,4520,,,0,0,,False
CHEMBL1162109,0,0.20216268,15579,,,0,0,,False
CHEMBL33754,0,0.013666068,29258,,,0,0,,False
CHEMBL27339,0,0.033044755,26852,,,0,0,,False
CHEMBL4553697,0,0.31062314,11510,,,0,0,,False
CHEMBL22550,0,0.29112843,12092,,,0,0,,False
CHEMBL35988,0,0.5107496,6598,,,0,0,,False
CHEMBL36651,0,0.22928008,14259,,,0,0,,False
CHEMBL33649,0,0.40075788,9215,,,0,0,,False
CHEMBL27038,0,0.46559715,7569,,,0,0,,False
CHEMBL26262,0,0.30943993,11567,,,0,0,,False
CHEMBL4436573,0,0.013666068,28829,,,0,0,,False
CHEMBL42960,0,0.23053561,14221,,,0,0,,False
CHEMBL3310055,0,0.69506663,2425,,,0,0,,False
CHEMBL4435829,0,0.09261696,22143,,,0,0,,False
CHEMBL3310706,0,0.4878888,6931,,,0,0,,False
CHEMBL4559944,0,0.36428323,10045,,,0,0,,False
CHEMBL19613,0,0.046097193,25875,,,0,0,,False
CHEMBL23655,0,0.048331752,25639,,,0,0,,False
CHEMBL33587,0,0.013666068,29240,,,0,0,,False
CHEMBL41107,0,0.15277958,18169,,,0,0,,False
CHEMBL3309996,0,0.6069621,4134,,,0,0,,False
CHEMBL36253,0,0.05165739,25263,,,0,0,,False
CHEMBL41081,0,0.13075688,19539,,,0,0,,False
CHEMBL33642,0,0.19399515,16013,,,0,0,,False
CHEMBL25174,0,0.16847016,17158,,,0,0,,False
CHEMBL18961,0,0.12157985,20234,,,0,0,,False
CHEMBL15135,0,0.1487597,18616,,,0,0,,False
CHEMBL3309520,0,0.044416573,26077,,,0,0,,False
CHEMBL819,0,0.21163335,15054,,,0,0,,False
CHEMBL32493,0,0.8220401,421,,,0,0,,False
CHEMBL23932,0,0.16542308,17327,,,0,0,,False
CHEMBL40673,0,0.08876982,22358,,,0,0,,False
CHEMBL28406,0,0.18458082,16410,,,0,0,,False
CHEMBL28584,0,0.22567709,14425,,,0,0,,False
CHEMBL15754,0,0.13625257,19249,,,0,0,,False
CHEMBL29126,0,0.31049967,11526,,,0,0,,False
CHEMBL21825,0,0.023725947,27561,,,0,0,,False
CHEMBL22150,0,0.58306766,4698,,,0,0,,False
CHEMBL13188,0,0.39627057,9337,,,0,0,,False
CHEMBL9237,0,0.24895594,13565,,,0,0,,False
CHEMBL32740,0,0.7509599,1308,,,0,0,,False
CHEMBL34209,0,0.12295956,20102,,,0,0,,False
CHEMBL10647,0,0.04839891,25590,,,0,0,,False
CHEMBL34879,0,0.013666068,28755,,,0,0,,False
CHEMBL31977,0,0.6273317,3484,,,0,0,,False
CHEMBL6996,0,0.29950437,11899,,,0,0,,False
CHEMBL18022,0,0.020767817,27908,,,0,0,,False
CHEMBL4553647,0,0.39535782,9347,,,0,0,,False
CHEMBL22138,0,0.7284554,1629,,,0,0,,False
CHEMBL1077095,0,0.06689841,24369,,,0,0,,False
CHEMBL35318,0,0.020797763,27902,,,0,0,,False
CHEMBL19241,0,0.10744866,21143,,,0,0,,False
CHEMBL13474,0,0.15802826,17808,,,0,0,,False
CHEMBL18520,0,0.66750747,2828,,,0,0,,False
CHEMBL34119,0,0.07491277,23701,,,0,0,,False
CHEMBL11336,0,0.32492355,11158,,,0,0,,False
CHEMBL34221,0,0.20858218,15220,,,0,0,,False
CHEMBL41021,0,0.53004885,6168,,,0,0,,False
CHEMBL19335,0,0.28293738,12294,,,0,0,,False
CHEMBL11469,0,0.29670113,11961,,,0,0,,False
CHEMBL37306,0,0.14185111,18945,,,0,0,,False
CHEMBL1084425,0,0.24202937,13774,,,0,0,,False
CHEMBL41637,0,0.20714556,15357,,,0,0,,False
CHEMBL40371,0,0.26160103,13116,,,0,0,,False
CHEMBL41194,0,0.42559615,8693,,,0,0,,False
CHEMBL8647,0,0.46046096,7743,,,0,0,,False
CHEMBL14483,0,0.40746245,9009,,,0,0,,False
CHEMBL25042,0,0.22219256,14557,,,0,0,,False
CHEMBL35581,0,0.013173661,29387,,,0,0,,False
CHEMBL31,0,0.1311981,19495,,,0,0,,False
CHEMBL36717,0,0.82024306,454,,,0,0,,False
CHEMBL24054,0,0.07865235,23500,,,0,0,,False
CHEMBL7307,0,0.17193002,16903,,,0,0,,False
CHEMBL10591,0,0.50551707,6698,,,0,0,,False
CHEMBL6230,0,0.5394994,5847,,,0,0,,False
CHEMBL13164,0,0.1470071,18725,,,0,0,,False
CHEMBL16581,0,0.5078168,6661,,,0,0,,False
CHEMBL24880,0,0.36929786,9851,,,0,0,,False
CHEMBL31059,0,0.46421087,7685,,,0,0,,False
CHEMBL9517,0,0.06732676,24288,,,0,0,,False
CHEMBL24765,0,0.5529501,5439,,,0,0,,False
CHEMBL26694,0,0.20716979,15271,,,0,0,,False
CHEMBL10268,0,0.23241238,14177,,,0,0,,False
CHEMBL38255,0,0.1747425,16804,,,0,0,,False
CHEMBL724,0,0.013666068,28531,,,0,0,,False
CHEMBL6555,0,0.1841418,16505,,,0,0,,False
CHEMBL35855,0,0.08359624,23051,,,0,0,,False
CHEMBL12662,0,0.573837,4981,,,0,0,,False
CHEMBL3311361,0,0.13668595,19224,,,0,0,,False
CHEMBL20141,0,0.2807517,12327,,,0,0,,False
CHEMBL19751,0,0.12831505,19710,,,0,0,,False
CHEMBL1163395,0,0.057226047,24919,,,0,0,,False
CHEMBL22089,0,0.013666068,28615,,,0,0,,False
CHEMBL30317,0,0.16542308,17356,,,0,0,,False
CHEMBL31862,0,0.03326483,26841,,,0,0,,False
CHEMBL42106,0,0.43468732,8333,,,0,0,,False
CHEMBL33134,0,0.013666068,28851,,,0,0,,False
CHEMBL24088,0,0.018252892,28026,,,0,0,,False
CHEMBL3347320,0,0.17197987,16900,,,0,0,,False
CHEMBL13883,0,0.013666068,28933,,,0,0,,False
CHEMBL6835,0,0.038291134,26612,,,0,0,,False
CHEMBL26147,0,0.09031487,22278,,,0,0,,False
CHEMBL21515,0,0.6176251,3810,,,0,0,,False
CHEMBL39311,0,0.6629981,2891,,,0,0,,False
CHEMBL33122,0,0.20522103,15392,,,0,0,,False
CHEMBL37747,0,0.3005634,11849,,,0,0,,False
CHEMBL3309449,0,0.14674763,18730,,,0,0,,False
CHEMBL23936,0,0.10772548,21118,,,0,0,,False
CHEMBL18872,0,0.1915228,16158,,,0,0,,False
CHEMBL6377,0,0.03219344,26920,,,0,0,,False
CHEMBL16929,0,0.64344364,3254,,,0,0,,False
CHEMBL34983,0,0.072496094,23859,,,0,0,,False
CHEMBL31836,0,0.048331752,25691,,,0,0,,False
CHEMBL17636,0,0.32220253,11228,,,0,0,,False
CHEMBL3309792,0,0.38176715,9625,,,0,0,,False
CHEMBL24312,0,0.31124127,11497,,,0,0,,False
CHEMBL39096,0,0.13825183,19112,,,0,0,,False
CHEMBL777,0,0.013666068,28667,,,0,0,,False
CHEMBL39656,0,0.39037836,9433,,,0,0,,False
CHEMBL29697,0,0.36869842,9910,,,0,0,,False
CHEMBL39511,0,0.46559715,7606,,,0,0,,False
CHEMBL18462,0,0.20716979,15320,,,0,0,,False
CHEMBL28422,0,0.37862545,9703,,,0,0,,False
CHEMBL12190,0,0.41385606,8920,,,0,0,,False
CHEMBL7466,0,0.25132525,13503,,,0,0,,False
CHEMBL14181,0,0.1930239,16104,,,0,0,,False
CHEMBL33253,0,0.504006,6748,,,0,0,,False
CHEMBL17432,0,0.04195912,26223,,,0,0,,False
CHEMBL1215485,0,0.06689841,24383,,,0,0,,False
CHEMBL8960,0,0.021994537,27657,,,0,0,,False
CHEMBL23677,0,0.013173661,29511,,,0,0,,False
CHEMBL10071,0,0.11746748,20571,,,0,0,,False
CHEMBL11552,0,0.19462363,15969,,,0,0,,False
CHEMBL34707,0,0.013666068,29186,,,0,0,,False
CHEMBL8700,0,0.3004425,11861,,,0,0,,False
CHEMBL1770963,0,0.0282139,27288,,,0,0,,False
CHEMBL40356,0,0.12864055,19687,,,0,0,,False
CHEMBL20211,0,0.123750545,20042,,,0,0,,False
CHEMBL36960,0,0.26804218,12782,,,0,0,,False
CHEMBL9986,0,0.48876002,6919,,,0,0,,False
CHEMBL574,0,0.023725947,27584,,,0,0,,False
CHEMBL23827,0,0.0845559,22941,,,0,0,,False
CHEMBL8042,0,0.58306766,4644,,,0,0,,False
CHEMBL21894,0,0.024602946,27490,,,0,0,,False
CHEMBL19603,0,0.32492355,11174,,,0,0,,False
CHEMBL25867,0,0.69396,2432,,,0,0,,False
CHEMBL37792,0,0.64532876,3187,,,0,0,,False
CHEMBL17316,0,0.2563523,13342,,,0,0,,False
CHEMBL14284,0,0.42378923,8721,,,0,0,,False
CHEMBL31779,0,0.056016512,25071,,,0,0,,False
CHEMBL37353,0,0.08879828,22349,,,0,0,,False
CHEMBL12592,0,0.16275127,17605,,,0,0,,False
CHEMBL28958,0,0.12101116,20277,,,0,0,,False
CHEMBL11251,0,0.30468294,11710,,,0,0,,False
CHEMBL12853,0,0.43925706,8123,,,0,0,,False
CHEMBL34212,0,0.09926473,21708,,,0,0,,False
CHEMBL9395,0,0.041517198,26301,,,0,0,,False
CHEMBL39980,0,0.06172243,24708,,,0,0,,False
CHEMBL7186,0,0.074588686,23712,,,0,0,,False
CHEMBL11876,0,0.020416047,27914,,,0,0,,False
CHEMBL6826,0,0.4328037,8484,,,0,0,,False
CHEMBL9025,0,0.11584479,20712,,,0,0,,False
CHEMBL35443,0,0.11687138,20635,,,0,0,,False
CHEMBL28715,0,0.21866149,14707,,,0,0,,False
CHEMBL1075638,0,0.25428525,13409,,,0,0,,False
CHEMBL27362,0,0.07640535,23649,,,0,0,,False
CHEMBL8129,0,0.6616576,2910,,,0,0,,False
CHEMBL446,0,0.58306766,4717,,,0,0,,False
CHEMBL17311,0,0.31914702,11318,,,0,0,,False
CHEMBL18316,0,0.17157838,16927,,,0,0,,False
CHEMBL11176,0,0.13462415,19327,,,0,0,,False
CHEMBL39190,0,0.75151604,1303,,,0,0,,False
CHEMBL24742,0,0.34190798,10643,,,0,0,,False
CHEMBL32766,0,0.07295637,23810,,,0,0,,False
CHEMBL6743,0,0.1841418,16482,,,0,0,,False
CHEMBL33611,0,0.08294921,23086,,,0,0,,False
CHEMBL17624,0,0.7234546,1700,,,0,0,,False
CHEMBL36946,0,0.02135242,27788,,,0,0,,False
CHEMBL28726,0,0.5454504,5744,,,0,0,,False
CHEMBL16078,0,0.19399373,16037,,,0,0,,False
CHEMBL604773,0,0.15835787,17797,,,0,0,,False
CHEMBL10489,0,0.024352975,27504,,,0,0,,False
CHEMBL3309700,0,0.1658368,17283,,,0,0,,False
CHEMBL27451,0,0.0228747,27626,,,0,0,,False
CHEMBL9217,0,0.06988835,24053,,,0,0,,False
CHEMBL22087,0,0.4247331,8702,,,0,0,,False
CHEMBL26166,0,0.5669452,5193,,,0,0,,False
CHEMBL16171,0,0.22625977,14391,,,0,0,,False
CHEMBL3310115,0,0.18246123,16551,,,0,0,,False
CHEMBL27404,0,0.67310745,2744,,,0,0,,False
CHEMBL13842,0,0.038973037,26563,,,0,0,,False
CHEMBL10983,0,0.21453696,14967,,,0,0,,False
CHEMBL39606,0,0.32365245,11197,,,0,0,,False
CHEMBL35729,0,0.46559715,7492,,,0,0,,False
CHEMBL41405,0,0.07922457,23461,,,0,0,,False
CHEMBL35568,0,0.052829288,25198,,,0,0,,False
CHEMBL4543517,0,0.08284763,23200,,,0,0,,False
CHEMBL42330,0,0.046861056,25830,,,0,0,,False
CHEMBL18037,0,0.72045493,1754,,,0,0,,False
CHEMBL29669,0,0.043213334,26149,,,0,0,,False
CHEMBL10875,0,0.69617116,2232,,,0,0,,False
CHEMBL20592,0,0.6919223,2447,,,0,0,,False
CHEMBL37905,0,0.26451904,12935,,,0,0,,False
CHEMBL15219,0,0.1968923,15866,,,0,0,,False
CHEMBL26114,0,0.056175437,25055,,,0,0,,False
CHEMBL15615,0,0.06647506,24409,,,0,0,,False
CHEMBL16608,0,0.018776167,27994,,,0,0,,False
CHEMBL23817,0,0.55102223,5670,,,0,0,,False
CHEMBL42778,0,0.40924627,8970,,,0,0,,False
CHEMBL6274,0,0.19011164,16197,,,0,0,,False
CHEMBL529450,0,0.12358332,20063,,,0,0,,False
CHEMBL33212,0,0.263756,12953,,,0,0,,False
CHEMBL9610,0,0.6169429,3922,,,0,0,,False
CHEMBL13287,0,0.0845559,22929,,,0,0,,False
CHEMBL4436000,0,0.61651206,3926,,,0,0,,False
CHEMBL7316,0,0.20255966,15520,,,0,0,,False
CHEMBL554554,0,0.029627152,27067,,,0,0,,False
CHEMBL10251,0,0.12590958,19881,,,0,0,,False
CHEMBL14874,0,0.6553391,2971,,,0,0,,False
CHEMBL26446,0,0.16303807,17595,,,0,0,,False
CHEMBL22447,0,0.1445521,18797,,,0,0,,False
CHEMBL24753,0,0.11876156,20486,,,0,0,,False
CHEMBL39900,0,0.04573194,25974,,,0,0,,False
CHEMBL16876,0,0.05090154,25307,,,0,0,,False
CHEMBL24627,0,0.3517416,10328,,,0,0,,False
CHEMBL502494,0,0.2400484,13832,,,0,0,,False
CHEMBL4553556,0,0.35819888,10192,,,0,0,,False
CHEMBL28435,0,0.07817206,23530,,,0,0,,False
CHEMBL3309424,0,0.29076767,12106,,,0,0,,False
CHEMBL13227,0,0.14879982,18605,,,0,0,,False
CHEMBL26407,0,0.66807336,2790,,,0,0,,False
CHEMBL35944,0,0.19962025,15728,,,0,0,,False
CHEMBL6579,0,0.041993678,26214,,,0,0,,False
CHEMBL39713,0,0.5848194,4517,,,0,0,,False
CHEMBL18408,0,0.098718375,21735,,,0,0,,False
CHEMBL34413,0,0.7375701,1505,,,0,0,,False
CHEMBL19379,0,0.10182982,21552,,,0,0,,False
CHEMBL35600,0,0.6579114,2945,,,0,0,,False
CHEMBL29122,0,0.41464096,8883,,,0,0,,False
CHEMBL30640,0,0.015242974,28468,,,0,0,,False
CHEMBL22483,0,0.25146523,13482,,,0,0,,False
CHEMBL10909,0,0.7454483,1355,,,0,0,,False
CHEMBL26300,0,0.110117786,20998,,,0,0,,False
CHEMBL22680,0,0.034114573,26804,,,0,0,,False
CHEMBL35200,0,0.029133258,27244,,,0,0,,False
CHEMBL34995,0,0.06474092,24557,,,0,0,,False
CHEMBL3311308,0,0.4987195,6800,,,0,0,,False
CHEMBL659,0,0.43925706,8150,,,0,0,,False
CHEMBL18749,0,0.08466891,22695,,,0,0,,False
CHEMBL6689,0,0.6500081,3083,,,0,0,,False
CHEMBL24222,0,0.08464564,22848,,,0,0,,False
CHEMBL28868,0,0.5544099,5398,,,0,0,,False
CHEMBL33379,0,0.1045459,21296,,,0,0,,False
CHEMBL23576,0,0.10376272,21315,,,0,0,,False
CHEMBL29581,0,0.39730105,9288,,,0,0,,False
CHEMBL3310705,0,0.118912,20477,,,0,0,,False
CHEMBL11354,0,0.027030494,27336,,,0,0,,False
CHEMBL20407,0,0.21531595,14925,,,0,0,,False
CHEMBL36888,0,0.09932169,21705,,,0,0,,False
CHEMBL34456,0,0.27140376,12669,,,0,0,,False
CHEMBL13077,0,0.329089,11016,,,0,0,,False
CHEMBL17304,0,0.4350791,8277,,,0,0,,False
CHEMBL31195,0,0.03487128,26745,,,0,0,,False
CHEMBL14665,0,0.56722635,5153,,,0,0,,False
CHEMBL37843,0,0.2917218,12053,,,0,0,,False
CHEMBL1163357,0,0.7260657,1644,,,0,0,,False
CHEMBL39371,0,0.7808457,851,,,0,0,,False
CHEMBL10972,0,0.7723489,1033,,,0,0,,False
CHEMBL19152,0,0.2562005,13364,,,0,0,,False
CHEMBL30403,0,0.22219256,14555,,,0,0,,False
CHEMBL41516,0,0.30724385,11609,,,0,0,,False
CHEMBL9040,0,0.22134623,14610,,,0,0,,False
CHEMBL22519,0,0.058449216,24861,,,0,0,,False
CHEMBL27107,0,0.1841418,16447,,,0,0,,False
CHEMBL17674,0,0.019966925,27971,,,0,0,,False
CHEMBL16909,0,0.30252972,11791,,,0,0,,False
CHEMBL28091,0,0.2872849,12207,,,0,0,,False
CHEMBL27391,0,0.7222994,1721,,,0,0,,False
CHEMBL23885,0,0.03998393,26478,,,0,0,,False
CHEMBL17571,0,0.7808457,831,,,0,0,,False
CHEMBL37538,0,0.29112455,12098,,,0,0,,False
CHEMBL30263,0,0.044064574,26092,,,0,0,,False
CHEMBL3310798,0,0.056933343,24986,,,0,0,,False
CHEMBL33434,0,0.36869842,9879,,,0,0,,False
CHEMBL38872,0,0.30427897,11748,,,0,0,,False
CHEMBL18063,0,0.14317635,18915,,,0,0,,False
CHEMBL19820,0,0.50405705,6741,,,0,0,,False
CHEMBL3309440,0,0.21903464,14682,,,0,0,,False
CHEMBL28192,0,0.013666068,29205,,,0,0,,False
CHEMBL4435777,0,0.69273394,2437,,,0,0,,False
CHEMBL13515,0,0.13930799,19077,,,0,0,,False
CHEMBL23308,0,0.1158048,20719,,,0,0,,False
CHEMBL33961,0,0.21331228,15035,,,0,0,,False
CHEMBL32400,0,0.50081235,6774,,,0,0,,False
CHEMBL42457,0,0.049962733,25388,,,0,0,,False
CHEMBL21112,0,0.0845559,22943,,,0,0,,False
CHEMBL1188857,0,0.024602946,27474,,,0,0,,False
CHEMBL15036,0,0.5947072,4314,,,0,0,,False
CHEMBL3310300,0,0.78944135,721,,,0,0,,False
