ligand_id,is_known_active,enopt_decoy_score,enopt_decoy_rank,molecule_chembl_id,best_pchembl,n_measurements,n_strong,types,documented_strong
CHEMBL27716,0,0.029133065,27254,,,0,0,,False
CHEMBL505806,0,0.42614117,8685,,,0,0,,False
CHEMBL4435853,0,0.08772593,22403,,,0,0,,False
CHEMBL4436217,0,0.73231286,1556,,,0,0,,False
CHEMBL42771,0,0.062688604,24665,,,0,0,,False
CHEMBL35656,0,0.102149196,21384,,,0,0,,False
CHEMBL17567,0,0.05770722,24895,,,0,0,,False
CHEMBL3310318,0,0.30468294,11646,,,0,0,,False
CHEMBL42876,0,0.5822197,4750,,,0,0,,False
CHEMBL25445,0,0.18174618,16581,,,0,0,,False
CHEMBL3311222,0,0.6530812,2991,,,0,0,,False
CHEMBL160341,0,0.013173661,29659,,,0,0,,False
CHEMBL21872,0,0.012331285,29749,,,0,0,,False
CHEMBL14626,0,0.19738996,15838,,,0,0,,False
CHEMBL10426,0,0.22134623,14612,,,0,0,,False
CHEMBL23990,0,0.18948786,16222,,,0,0,,False
CHEMBL37697,0,0.100869864,21635,,,0,0,,False
CHEMBL22439,0,0.63024133,3436,,,0,0,,False
CHEMBL40003,0,0.33225316,10940,,,0,0,,False
CHEMBL35306,0,0.1874679,16289,,,0,0,,False
CHEMBL4436470,0,0.32162735,11233,,,0,0,,False
CHEMBL19760,0,0.10967541,21019,,,0,0,,False
CHEMBL6381,0,0.58306766,4716,,,0,0,,False
CHEMBL601490,0,0.2975056,11946,,,0,0,,False
CHEMBL24383,0,0.21531595,14905,,,0,0,,False
CHEMBL26909,0,0.78319025,786,,,0,0,,False
CHEMBL8562,0,0.021269627,27816,,,0,0,,False
CHEMBL8004,0,0.6676457,2811,,,0,0,,False
CHEMBL38555,0,0.3345307,10865,,,0,0,,False
