,ex4_best,ex8_best,ex4_mean,ex8_mean,n_conf_ex8,heavy_atoms,ex4_ha,ex8_ha,rank_ex4_best,rank_ex8_best,rank_ex4_ha,rank_ex8_ha,enopt_ha_rank,old_decoy_rank,is_known_active,delta_best,rank_delta_best
CHEMBL35020,-11.26,-11.19,-10.88,-10.871666666666668,7,28.0,-0.40214285714285714,-0.39964285714285713,69,72,164,166,11,8,0,0.07000000000000028,3
CHEMBL4435178,-11.23,-11.19,-10.804666666666668,-10.783166666666666,7,26.0,-0.43192307692307697,-0.43038461538461537,70,72,66,74,47,2125,0,0.040000000000000924,2
CHEMBL20751,-11.23,-11.18,-10.662,-10.520333333333332,7,27.0,-0.4159259259259259,-0.41407407407407404,70,75,131,132,23,1,0,0.05000000000000071,5
CHEMBL22248,-11.2,-10.97,-10.446666666666665,-10.341166666666666,7,34.0,-0.32941176470588235,-0.32264705882352945,72,89,200,201,115,331,0,0.22999999999999865,17
CHEMBL34293,-11.2,-11.1,-10.856666666666667,-10.6875,7,28.0,-0.39999999999999997,-0.3964285714285714,72,80,167,172,21,3,0,0.09999999999999964,8
CHEMBL28358,-11.19,-10.8,-10.893333333333333,-10.56,7,29.0,-0.3858620689655172,-0.3724137931034483,74,101,194,199,19,13,0,0.3899999999999988,27
CHEMBL36002,-11.19,-10.95,-10.706333333333333,-10.607666666666667,7,25.0,-0.4476,-0.43799999999999994,74,91,25,61,31,2795,0,0.2400000000000002,17
CHEMBL9612,-11.18,-11.1,-10.941666666666668,-10.774999999999999,7,27.0,-0.41407407407407404,-0.4111111111111111,76,80,138,137,136,20,0,0.08000000000000007,4
CHEMBL19102,-11.18,-11.23,-10.906666666666666,-10.980000000000002,7,29.0,-0.3855172413793103,-0.38724137931034486,76,66,195,190,42,1023,0,-0.05000000000000071,-10
CHEMBL35093,-11.17,-11.38,-10.811666666666667,-10.898333333333333,7,26.0,-0.4296153846153846,-0.4376923076923077,78,52,77,62,108,1625,0,-0.21000000000000085,-26
CHEMBL27037,-11.17,-10.93,-10.575666666666669,-10.645,7,27.0,-0.4137037037037037,-0.4048148148148148,78,93,140,150,24,920,0,0.2400000000000002,15
CHEMBL20825,-11.16,-11.14,-10.808333333333332,-10.844999999999999,7,29.0,-0.38482758620689655,-0.3841379310344828,80,79,196,196,149,4114,0,0.019999999999999574,-1
CHEMBL10317,-11.14,-11.08,-10.838833333333334,-10.831666666666669,7,27.0,-0.4125925925925926,-0.4103703703703704,81,84,141,138,190,1981,0,0.0600000000000005,3
CHEMBL29371,-11.13,-11.29,-10.708333333333334,-10.766666666666666,7,28.0,-0.3975,-0.4032142857142857,82,58,171,154,22,5,0,-0.15999999999999837,-24
CHEMBL12173,-11.11,-11.23,-10.521666666666667,-10.660666666666666,7,28.0,-0.39678571428571424,-0.4010714285714286,83,66,173,163,152,459,0,-0.120000000000001,-17
CHEMBL17703,-11.06,-10.33,-10.671,-10.037833333333333,7,26.0,-0.4253846153846154,-0.3973076923076923,84,151,93,171,16,1503,0,0.7300000000000004,67
CHEMBL22620,-11.06,-10.95,-10.705,-10.682,7,28.0,-0.395,-0.39107142857142857,84,91,178,180,20,2793,0,0.11000000000000121,7
CHEMBL7035,-11.04,-11.09,-10.768666666666666,-10.816333333333333,7,26.0,-0.42461538461538456,-0.42653846153846153,86,82,98,94,14,3003,0,-0.05000000000000071,-4
CHEMBL21258,-11.01,-11.21,-10.558666666666666,-10.583833333333335,7,28.0,-0.3932142857142857,-0.4003571428571429,87,70,183,165,52,304,0,-0.20000000000000107,-17
CHEMBL4553657,-10.98,-10.96,-10.721666666666666,-10.435500000000001,7,28.0,-0.3921428571428572,-0.39142857142857146,88,90,186,178,39,1343,0,0.019999999999999574,2
CHEMBL7498,-10.98,-10.92,-10.606166666666667,-10.615,7,28.0,-0.3921428571428572,-0.39,88,95,186,182,54,1086,0,0.0600000000000005,7
CHEMBL42679,-10.97,-11.33,-10.523333333333333,-10.950000000000001,7,28.0,-0.3917857142857143,-0.40464285714285714,90,55,188,151,148,1925,0,-0.35999999999999943,-35
CHEMBL19133,-10.95,-10.91,-10.464333333333334,-10.313666666666665,7,27.0,-0.4055555555555555,-0.4040740740740741,91,96,151,152,67,424,0,0.03999999999999915,5
CHEMBL421,-10.95,-11.01,-10.6825,-10.667166666666667,7,28.0,-0.39107142857142857,-0.3932142857142857,91,87,190,177,151,8273,0,-0.0600000000000005,-4
CHEMBL23744,-10.89,-10.83,-10.275333333333334,-10.268833333333333,7,25.0,-0.43560000000000004,-0.43320000000000003,93,98,61,65,51,2088,0,0.0600000000000005,5
CHEMBL35379,-10.86,-10.76,-10.551666666666668,-10.453999999999999,7,28.0,-0.38785714285714284,-0.3842857142857143,94,103,192,195,150,363,0,0.09999999999999964,9
CHEMBL14161,-10.85,-11.15,-10.350833333333334,-10.5985,7,26.0,-0.41730769230769227,-0.4288461538461539,95,78,127,83,124,3623,0,-0.3000000000000007,-17
CHEMBL3310763,-10.82,-10.55,-10.305833333333334,-10.222333333333331,7,26.0,-0.41615384615384615,-0.40576923076923077,96,126,128,148,71,306,0,0.2699999999999996,30
CHEMBL14547,-10.78,-10.69,-10.260333333333334,-10.293166666666666,7,25.0,-0.43119999999999997,-0.4276,97,110,71,89,65,7784,0,0.08999999999999986,13
CHEMBL14366,-10.78,-10.71,-10.275666666666668,-10.213000000000001,7,25.0,-0.43119999999999997,-0.42840000000000006,97,108,71,85,74,590,0,0.06999999999999851,11
CHEMBL28066,-10.74,-10.81,-10.286666666666667,-10.468666666666667,7,27.0,-0.3977777777777778,-0.4003703703703704,99,100,170,164,70,469,0,-0.07000000000000028,1
CHEMBL41255,-10.71,-10.55,-10.330166666666667,-10.005166666666668,7,27.0,-0.3966666666666667,-0.3907407407407408,100,126,174,181,73,587,0,0.16000000000000014,26
CHEMBL35409,-10.69,-10.67,-10.430666666666665,-10.38,7,27.0,-0.3959259259259259,-0.3951851851851852,101,113,176,174,102,870,0,0.019999999999999574,12
CHEMBL41605,-10.69,-10.62,-10.374,-10.343,7,27.0,-0.3959259259259259,-0.3933333333333333,101,118,176,176,72,415,0,0.07000000000000028,17
CHEMBL21614,-10.68,-10.64,-10.408333333333333,-10.375166666666667,7,25.0,-0.42719999999999997,-0.42560000000000003,103,116,84,96,82,1762,0,0.03999999999999915,13
CHEMBL7338,-10.67,-10.75,-10.027000000000001,-9.987166666666667,7,24.0,-0.44458333333333333,-0.4479166666666667,104,104,31,37,97,2307,0,-0.08000000000000007,0
CHEMBL33172,-10.66,-10.53,-10.26,-10.115166666666667,7,25.0,-0.4264,-0.42119999999999996,105,129,89,110,126,2631,0,0.13000000000000078,24
CHEMBL18140,-10.66,-10.48,-10.393666666666666,-10.27966666666667,7,27.0,-0.39481481481481484,-0.3881481481481482,105,134,179,188,103,4505,0,0.17999999999999972,29
CHEMBL29606,-10.65,-10.4,-10.1135,-9.978499999999999,7,25.0,-0.426,-0.41600000000000004,107,141,90,124,128,2171,0,0.25,34
CHEMBL24783,-10.64,-10.73,-9.946,-10.173,7,23.0,-0.46260869565217394,-0.4665217391304348,108,106,9,13,105,12374,0,-0.08999999999999986,-2
CHEMBL4436492,-10.64,-10.57,-10.357000000000001,-10.3135,7,25.0,-0.42560000000000003,-0.4228,108,122,91,104,87,1548,0,0.07000000000000028,14
