,ex4_best,ex8_best,ex4_mean,ex8_mean,n_conf_ex8,heavy_atoms,ex4_ha,ex8_ha,rank_ex4_best,rank_ex8_best,rank_ex4_ha,rank_ex8_ha,enopt_ha_rank,old_decoy_rank,is_known_active,delta_best,rank_delta_best
CHEMBL4543468,-10.14,-10.15,-9.883166666666666,-9.939333333333332,7,23.0,-0.44086956521739135,-0.44130434782608696,186,181,44,54,111,3985,0,-0.009999999999999787,-5
CHEMBL19382,-10.13,-10.08,-9.566666666666668,-9.5425,7,22.0,-0.4604545454545455,-0.4581818181818182,188,187,13,21,154,696,0,0.05000000000000071,-1
CHEMBL4436160,-10.12,-10.21,-9.905499999999998,-9.953166666666666,7,24.0,-0.42166666666666663,-0.4254166666666667,189,174,111,98,184,3788,0,-0.09000000000000163,-15
CHEMBL25133,-10.12,-10.24,-9.865333333333334,-9.888833333333332,7,23.0,-0.43999999999999995,-0.44521739130434784,189,169,49,43,134,340,1,-0.120000000000001,-20
CHEMBL36490,-10.1,-10.1,-9.781833333333333,-9.795833333333334,7,24.0,-0.42083333333333334,-0.42083333333333334,191,186,114,112,169,2362,0,0.0,-5
CHEMBL22030,-10.07,-10.27,-9.853,-9.477833333333335,7,23.0,-0.43782608695652175,-0.44652173913043475,192,162,54,41,95,2360,0,-0.1999999999999993,-30
CHEMBL4436452,-10.07,-10.04,-9.8615,-9.859166666666665,7,24.0,-0.41958333333333336,-0.4183333333333333,192,190,118,115,171,1378,0,0.030000000000001137,-2
CHEMBL12844,-10.04,-10.13,-9.673166666666667,-9.725833333333334,7,24.0,-0.4183333333333333,-0.42208333333333337,194,184,123,107,174,7120,0,-0.09000000000000163,-10
CHEMBL28046,-10.04,-10.04,-9.7285,-9.753833333333334,7,23.0,-0.43652173913043474,-0.43652173913043474,194,190,59,63,188,541,0,0.0,-4
CHEMBL25724,-9.966,-10.31,-9.833,-9.748166666666668,7,24.0,-0.41524999999999995,-0.4295833333333334,196,154,134,77,192,3752,0,-0.3440000000000012,-42
CHEMBL36920,-9.965,-9.947,-9.823666666666668,-9.714333333333334,7,23.0,-0.43326086956521737,-0.4324782608695652,197,198,62,67,187,3701,0,0.018000000000000682,1
CHEMBL3310965,-9.939,-9.671,-9.606,-9.493833333333333,7,22.0,-0.45177272727272727,-0.4395909090909091,198,200,20,59,145,540,0,0.2680000000000007,2
CHEMBL27032,-9.907,-10.23,-9.748166666666664,-9.943333333333333,7,23.0,-0.4307391304347826,-0.44478260869565217,199,171,73,45,183,6951,0,-0.3230000000000004,-28
CHEMBL42066,-9.826,-10.15,-9.716,-9.983666666666666,7,25.0,-0.39304,-0.406,200,181,184,147,194,918,0,-0.32399999999999984,-19
CHEMBL776,-8.367,-8.068,-7.663500000000002,-7.4063333333333325,7,15.0,-0.5578000000000001,-0.5378666666666666,201,201,1,1,19209,27659,0,0.29900000000000126,0
